기준_년분기_코드,자치구,지출_총금액,식료품_지출_총금액,교통_지출_총금액
20191,서대문구,10133007888.0,2559941271.0,1703208195.0
20191,서대문구,12563928873.0,3228022586.0,2112988459.0
20191,서대문구,10410991269.0,2627832961.0,1770169583.0
20191,서대문구,8249692148.0,1918053381.0,1477699382.0
20191,서대문구,15206220149.0,3825113381.0,2605404100.0
20191,서대문구,13334877665.0,3385267138.0,2278087413.0
20191,서대문구,5514781387.0,1409938603.0,942633840.0
20191,서대문구,5148522763.0,1300774656.0,885709227.0
20191,서대문구,1015239478.0,213534307.0,116450039.0
20191,서대문구,3497960221.0,879782777.0,583673409.0
20191,서대문구,5785265483.0,1474826674.0,967981916.0
20191,서대문구,4403595877.0,1153924337.0,732036832.0
20191,서대문구,3169045647.0,762184809.0,375599536.0
20191,서대문구,6538584719.0,1651545828.0,1107437529.0
20191,서대문구,4471898368.0,1124277021.0,756784140.0
20191,서대문구,4300336861.0,1058795781.0,743585074.0
20191,서대문구,5751215630.0,1433144515.0,993550755.0
20191,서대문구,3589090109.0,955052512.0,587970600.0
20191,서대문구,6272404062.0,1487450907.0,858615939.0
20191,서대문구,5294258306.0,1279990376.0,908963090.0
20191,서대문구,6066580416.0,1553456045.0,1010865173.0
20191,서대문구,6252582212.0,1476153581.0,914535280.0
20191,서대문구,5451533425.0,1410908790.0,909216897.0
20191,서대문구,8401578545.0,2061425003.0,1254161644.0
20191,마포구,7039557569.0,1782059497.0,1163226055.0
20191,서대문구,2556703209.0,576679150.0,445122142.0
20191,서대문구,4414423783.0,1025510854.0,757791225.0
20191,서대문구,3841261047.0,929685663.0,649234341.0
20191,서대문구,3992615356.0,1034895577.0,651611503.0
20191,서대문구,5902407272.0,1594180371.0,932843866.0
20191,서대문구,6753789156.0,1736870092.0,1115984858.0
20191,서대문구,6338846648.0,1813412568.0,970917692.0
20191,서대문구,5717596213.0,1678504286.0,850779783.0
20191,서대문구,1734507127.0,477489446.0,277375307.0
20191,서대문구,2900760861.0,786917041.0,466338777.0
20191,서대문구,7973804659.0,2214751653.0,1245976419.0
20191,서대문구,7414297357.0,2067898221.0,1152493973.0
20191,서대문구,8973168534.0,2407631216.0,1454719908.0
20191,서대문구,2100660900.0,481599894.0,261543446.0
20191,서대문구,5364585401.0,1461737058.0,843981159.0
20191,노원구,2561407792.0,650538177.0,431164413.0
20191,노원구,6224813584.0,1562886178.0,1046036453.0
20191,노원구,6470059235.0,1698107286.0,1067694492.0
20191,노원구,1940079660.0,491926934.0,330198770.0
20191,노원구,4086655241.0,1031856576.0,688253614.0
20191,노원구,6122881668.0,1664003676.0,976117182.0
20191,노원구,5091729828.0,1275658271.0,866738875.0
20191,노원구,3326782762.0,814281980.0,585104377.0
20191,마포구,10974323249.0,2789095953.0,1815315987.0
20191,마포구,11254331285.0,2779131388.0,1901959510.0
20191,마포구,6543485384.0,1654209451.0,1096871351.0
20191,마포구,9120844289.0,2433631390.0,1442392915.0
20191,마포구,21669775958.0,5464714283.0,3624446263.0
20191,마포구,3320374858.0,861918498.0,530570595.0
20191,마포구,10616429963.0,2668991550.0,1752155277.0
20191,마포구,13100801377.0,3279500151.0,2186973693.0
20191,마포구,6633282189.0,1657700487.0,1075272035.0
20191,마포구,13178149913.0,3258009202.0,2252372329.0
20191,마포구,10330670986.0,2440145079.0,1799197158.0
20191,마포구,2691341483.0,702823416.0,445002194.0
20191,마포구,6762513731.0,1619891138.0,1175110567.0
20191,마포구,11572541385.0,2796716466.0,1978133864.0
20191,마포구,9408306790.0,2404324701.0,1564600701.0
20191,마포구,9382094881.0,2285066174.0,1607885169.0
20191,마포구,10584527219.0,2575893497.0,1807101454.0
20191,마포구,12945418097.0,3189088519.0,2215518302.0
20191,마포구,11010035510.0,2817451528.0,1820493422.0
20191,노원구,1969736582.0,479930572.0,333249120.0
20191,노원구,2568276006.0,685064024.0,411199408.0
20191,노원구,5214372745.0,1265988161.0,903382879.0
20191,노원구,1108089226.0,269053880.0,191978815.0
20191,노원구,5714547529.0,1387626970.0,1017326331.0
20191,마포구,4229014231.0,1084999662.0,510795410.0
